"SbjNum","VAR00001","Date","Srvyr","DC1","DC2","DEPARTAMENTO","PROVINCIA","DISTRITO","DC4","DC5","mp1","mp2","I_1_mp3","I_2_mp3","I_3_mp3","I_4_mp3","mp4","mp5","mp6","mp7","mp8","mp9","mp10","mp11","I_1_mp12","I_2_mp12","I_3_mp12","I_4_mp12","I_5_mp12","I_6_mp12","I_7_mp12","I_8_mp12","I_9_mp12","I_10_mp12","I_11_mp12","I_12_mp12","I_13_mp12","I_14_mp12","mp12x","mp13","mp14","mp15","mp16","mp17","mp18_O1","mp18_O2","mp18_O3","mp18_O4","mp18_O5","mp18_O6","mp18_O7","mp18_O8","mp18_O9","mp18_O10","mp18_O11","mp18_O12","mp18_O13","mp18_O14","mp18_O15","mp18_O16","mp18_O17","mp18_O18","mp18_O19","mp19","mp20"
196977748,80568,"2024-02-03 18:08:55","ENCUESTADOR 92",1,26,20,2001,200104,1,3,14,-1,-1,-1,-1,-1,1,1,1,1,2.0,2.0,20.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,1.0,1.0,5.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0
196997958,95473,"2024-02-04 09:38:28","ENCUESTADOR 29",1,24,13,1312,131201,2,-1,3,12,2,2,2,2,1,4,-1,-1,1.0,5.0,-1.0,-1.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,1.0,2.0,-1.0,3.0,1.0,4.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
197005110,42412,"2024-02-04 10:57:51","ENCUESTADOR 86",2,52,2,201,20105,1,2,1,1,2,2,2,2,1,1,6,1,1.0,3.0,-1.0,2.0,6.0,3.0,6.0,6.0,2.0,1.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,1.0,1.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0
196969218,84074,"2024-02-03 14:34:17","ENCUESTADOR 10",1,60,15,1501,150117,1,3,11,2,2,2,2,2,1,1,1,1,1.0,1.0,24.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,-1.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0
197015539,30373,"2024-02-04 13:15:36","ENCUESTADOR 75",2,24,8,813,81301,1,4,1,5,1,1,2,2,1,1,1,1,6.0,2.0,14.0,8.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,6.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
197022521,90761,"2024-02-04 14:39:13","ENCUESTADOR 75",1,58,8,813,81301,1,4,1,3,1,2,2,1,1,1,1,2,4.0,2.0,32.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0
197034067,23003,"2024-02-04 11:40:21","ENCUESTADOR 31",2,67,15,1501,150135,1,4,14,-1,-1,-1,-1,-1,1,1,1,1,3.0,1.0,12.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,1.0,2.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0
197029551,40959,"2024-02-03 14:52:05","ENCUESTADOR 47",2,20,11,1101,110101,1,2,4,2,1,2,2,2,1,2,7,3,1.0,2.0,17.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,-1.0,3.0,1.0,8.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
197079764,75079,"2024-02-05 17:09:19","ENCUESTADOR 33",1,42,21,2101,210101,1,3,14,-1,-1,-1,-1,-1,1,1,3,1,1.0,2.0,11.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,-1.0,2.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,2.0
197034479,27554,"2024-02-04 15:34:22","ENCUESTADOR 85",1,64,15,1501,150133,1,3,3,4,1,2,2,2,1,1,4,2,4.0,3.0,-1.0,9.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0
197035072,46680,"2024-02-04 18:47:39","ENCUESTADOR 23",2,24,26,1508,150801,1,3,14,-1,-1,-1,-1,-1,1,2,5,5,1.0,1.0,1.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,-1.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0
